102, E20 3BS, 221122, 40.99, 1, purchased, PayPal, 12-05-2020
104, PA3 2SW, 898989, 29.99, 2, purchased, Credit Card, 12-05-2020
103, BN1 3XP, 999999, 299.99, 1, cancelled, , 12-05-2020
104, PA3 2SW, 898989, 19.99, 2, cancelled, , 10-05-2020
103, BN1 3XP, 123456, 39.99, 2, cancelled, , 10-05-2020
103, BN1 3XP, 123456, 39.99, 1, cancelled, , 10-05-2020
102, E20 3BS, 888888, 55.0, 1, purchased, PayPal, 08-05-2020
103, BN1 3XP, 898989, 19.99, 1, purchased, Credit Card, 08-05-2020
102, E20 3BS, 898989, 19.99, 1, cancelled, , 08-05-2020
102, E20 3BS, 999999, 100.0, 1, cancelled, , 02-05-2020
102, E20 3BS, 999999, 100.0, 1, cancelled, , 02-05-2020
103, BN1 3XP, 555555, 59.0, 2, saved, , 14-04-2020
103, BN1 3XP, 808080, 49.99, 1, purchased, Credit Card, 13-04-2020
103, BN1 3XP, 555555, 59.0, 1, purchased, PayPal, 06-04-2020
103, BN1 3XP, 999999, 100.0, 1, purchased, PayPal, 06-04-2020
103, BN1 3XP, 909090, 200.0, 1, purchased, PayPal, 06-04-2020
103, BN1 3XP, 124566, 2.5, 1, purchased, PayPal, 06-04-2020
104, PA3 2SW, 270129, 199.99, 1, saved, , 06-04-2020
104, PA3 2SW, 270129, 199.99, 1, purchased, PayPal, 06-04-2020
103, BN1 3XP, 999999, 100.0, 1, purchased, PayPal, 31-03-2020
103, BN1 3XP, 999999, 100.0, 1, cancelled, , 31-03-2020
103, BN1 3XP, 888888, 55.0, 1, cancelled, , 31-03-2020
102, E20 3BS, 898989, 19.99, 1, cancelled, , 31-03-2020
103, BN1 3XP, 236677, 10.0, 1, purchased, PayPal, 31-03-2020
104, PA3 2SW, 888888, 55.0, 1, saved, , 31-03-2020
103, BN1 3XP, 808080, 49.99, 1, cancelled, , 31-03-2020
103, BN1 3XP, 909090, 200.0, 1, cancelled, , 31-03-2020
102, E20 3BS, 909090, 200.0, 1, purchased, Credit Card, 31-03-2020
102, E20 3BS, 333333, 18.0, 1, cancelled, , 31-03-2020
103, BN1 3XP, 222222, 24.99, 1, purchased, PayPal, 31-03-2020
103, BN1 3XP, 222222, 24.99, 1, cancelled, , 31-03-2020
104, PA3 2SW, 909090, 200.0, 1, saved, , 30-03-2020
103, BN1 3XP, 999999, 100.0, 1, saved, , 30-03-2020
103, BN1 3XP, 111111, 19.99, 1, saved, , 30-03-2020
103, BN1 3XP, 555555, 59.0, 2, cancelled, , 30-03-2020
102, E20 3BS, 555555, 59.0, 1, saved, , 30-03-2020
103, BN1 3XP, 555555, 59.0, 1, cancelled, , 30-03-2020
103, BN1 3XP, 555555, 59.0, 1, purchased, PayPal, 30-03-2020
103, BN1 3XP, 555555, 59.0, 1, purchased, PayPal, 30-03-2020
104, PA3 2SW, 555555, 59.0, 1, saved, , 30-03-2020
104, PA3 2SW, 555555, 59.0, 1, cancelled, , 30-03-2020
104, PA3 2SW, 555555, 59.0, 1, purchased, PayPal, 30-03-2020
104, PA3 2SW, 555555, 59.0, 1, purchased, PayPal, 30-03-2020
104, PA3 2SW, 555555, 59.0, 1, purchased, Credit Card, 30-03-2020
104, PA3 2SW, 888888, 55.0, 1, cancelled, , 30-03-2020
104, PA3 2SW, 707070, 19.99, 1, cancelled, , 30-03-2020
104, PA3 2SW, 707070, 19.99, 1, purchased, PayPal, 30-03-2020
104, PA3 2SW, 999999, 100.0, 1, purchased, Credit Card, 30-03-2020
103, BN1 3XP, 333333, 18.0, 1, cancelled, , 30-03-2020
103, BN1 3XP, 333333, 18.0, 1, cancelled, , 30-03-2020
104, PA3 2SW, 333333, 18.0, 1, cancelled, , 30-03-2020
104, PA3 2SW, 707070, 19.99, 1, cancelled, , 30-03-2020
